height,block_time,encode,nbits
1207977,1517322628,000000000000000000000000000000000000000000000028e2c6e2f688ea04c7,1b00a046
1207978,1517322633,000000000000000000000000000000000000000000000028e2c8801d10e1f306,1b009ea0
1207979,1517322742,000000000000000000000000000000000000000000000028e2ca218cf923055f,1b009cff
1207980,1517322756,000000000000000000000000000000000000000000000028e2cbc7551f644497,1b009b61
1207981,1517322802,000000000000000000000000000000000000000000000028e2cd7181d2d88f37,1b0099c7
1207982,1517322842,000000000000000000000000000000000000000000000028e2cf201f6d8354cb,1b009831
1207983,1517322845,000000000000000000000000000000000000000000000028e2d0d33a52b5edaa,1b00969f
1207984,1517322870,000000000000000000000000000000000000000000000028e2d28ae1e080e754,1b009510
1207985,1517322912,000000000000000000000000000000000000000000000028e2d44722a7a2f096,1b009385
1207986,1517322952,000000000000000000000000000000000000000000000028e2d608062af2be48,1b0091ff
1207987,1517322966,000000000000000000000000000000000000000000000028e2d7cd9c06595ecc,1b00907c
1207988,1517323007,000000000000000000000000000000000000000000000028e2d997f0d4364df3,1b008efd
1207989,1517323019,000000000000000000000000000000000000000000000028e2db670de866b979,1b008d83
1207990,1517323109,000000000000000000000000000000000000000000000028e2dd3affb684f4d6,1b008c0d
1207991,1517323217,000000000000000000000000000000000000000000000028e2df13d6153542a4,1b008a9a
1207992,1517323226,000000000000000000000000000000000000000000000028e2e0f1a10970ed14,1b00892a
1207993,1517323227,000000000000000000000000000000000000000000000028e2e2d469a953ee47,1b0087bf
1207994,1517323251,000000000000000000000000000000000000000000000028e2e4bc43aac97130,1b008656
1207995,1517323257,000000000000000000000000000000000000000000000028e2e6a93809cdab60,1b0084f2
1207996,1517323308,000000000000000000000000000000000000000000000028e2e89b5708b76c0f,1b008391
1207997,1517323384,000000000000000000000000000000000000000000000028e2ea92a957681448,1b008235
1207998,1517323492,000000000000000000000000000000000000000000000028e2ec8f3f35d1ce8f,1b0080dc
1207999,1517323551,000000000000000000000000000000000000000000000028e2ee912090b53d50,1a7f881a
1208000,1517323558,000000000000000000000000000000000000000000000028e2f0985d37016fec,1a7e374b
1208001,1517323563,000000000000000000000000000000000000000000000028e2f2a503eff2fc87,1a7ce9d8
1208002,1517323704,000000000000000000000000000000000000000000000028e2f4b723a7615a8e,1a7b9fba
1208003,1517323737,000000000000000000000000000000000000000000000028e2f6cecb76dc5189,1a7a58e8
1208004,1517323796,000000000000000000000000000000000000000000000028e2f8ec0a9dd6b85d,1a79155b
1208005,1517323858,000000000000000000000000000000000000000000000028e2fb0ef09450c6de,1a77d508
1208006,1517323873,000000000000000000000000000000000000000000000028e2fd378cf5814040,1a7697e9
1208007,1517323874,000000000000000000000000000000000000000000000028e2ff67c1d91b862a,1a74fc44
1208008,1517323908,000000000000000000000000000000000000000000000028e3019dccf8718cf4,1a73c773
1208009,1517323948,000000000000000000000000000000000000000000000028e303d9cb7872febd,1a729319
1208010,1517324021,000000000000000000000000000000000000000000000028e3061bcdb4c2a968,1a7161e3
1208011,1517324221,000000000000000000000000000000000000000000000028e30863e48a24ec32,1a7033b9
1208012,1517324301,000000000000000000000000000000000000000000000028e30ab220f9783413,1a6f0896
1208013,1517324303,000000000000000000000000000000000000000000000028e30d069442b1b916,1a6de070
1208014,1517324304,000000000000000000000000000000000000000000000028e30f614fd65cf45a,1a6cbb40
1208015,1517324344,000000000000000000000000000000000000000000000028e311c2655c1826fd,1a6b98fe
1208016,1517324373,000000000000000000000000000000000000000000000028e31429e6a85c115a,1a6a79a4
1208017,1517324417,000000000000000000000000000000000000000000000028e31697e5d485b97f,1a695d28
1208018,1517324425,000000000000000000000000000000000000000000000028e3190c752f31d108,1a684383
1208019,1517324428,000000000000000000000000000000000000000000000028e31b87a73d449adc,1a672cae
1208020,1517324428,000000000000000000000000000000000000000000000028e31e098ec1472bc4,1a6618a1
1208021,1517324466,000000000000000000000000000000000000000000000028e320923eb038e290,1a650756
1208022,1517324475,000000000000000000000000000000000000000000000028e32321c7b628e430,1a63f928
1208023,1517324504,000000000000000000000000000000000000000000000028e325b83ab2979672,1a62ee0b
